Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
gender,Virgin Islands ,44.06999969,42.72399902,43.10599899,45.63100052,49.13100052,48.74900055,49.22499847,47.58300018,48.61899948,52.36500168,54.91600037,55.35300064,57.34199905,58.15499878,58.57099915,57.93199921,57.56200027,56.52099991,54.6969986,56.08000183,56.94300079,54.63800049,53.55400085,54.80899811,55.29800034
education,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
interest,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
militaryexp,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Virgin Islands ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
slums,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Virgin Islands ,3.96,4.061,4.168,4.279,4.397,4.52,4.65,4.787,4.93,5.081,5.239,5.406,5.581,5.761,5.947,6.139,6.336,6.539,6.749,6.964,7.186,7.414,7.772,8.189,8.626
servicesector,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with international peaks, all products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
fdi,Virgin Islands,528097,519957,496386,471151,399076,673957,738778,622566,615858,783086,972495,1044734,1129858,1595384,1655244,1124758,902167,673030,577696,611739,504234,383289,265896,403134,171717
Exports,Vietnam,13789507,11381566,9786888,8387669,7161725,6110413,6601702,6373001,4858630,3420811,2909014,2310154,1629765,1512213,1189130,746336,564390,426003,318274,214838,180445,153726,86386,102831,
Imports,Vietnam,9231942,7847443,6411667,6395635,5037462,3717160,2983175,1990640,1689189,1623129,1111770,698454,474753,433632,322628,248608,255284,248199,145671,111589,101075,92915,35429,21736,
fdi,Vietnam,603,275,1720,13883,353,,,7,,316,129,203,592,207,73,1366,127,114,331,251,148,56,13,1414,154
electricity,Vietnam,,100,99.40000153,100,100,99.19999695,99.82130432,99.19999695,98.55496216,97.88999939,99,97.43000031,96.09999847,93.98171234,93.20526886,96,96.09999847,90.90854645,90.14519501,89.09999847,88.60747528,87.82841492,86.99443817,86.17598724,78.4
ageing,Vietnam,45.55677286,45.18116866,44.78602989,44.45697484,44.18280935,43.97275253,43.76692733,43.47600359,43.34295742,43.48730975,43.8491968,44.45362507,45.33385695,46.46998023,47.82637821,49.36906578,51.00602184,52.66633218,54.38595005,56.19166198,58.11948227,60.18904183,62.36872026,64.65489695,66.96128872
publicdebt,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,
business,Vietnam,,,5.6,6.1,6.5,4.6,4.9,5.3,7.7,8.8,10.7,12.1,13.3,16.8,20,24.3,27.6,30.6,31.9,,,,,,
gdp,Vietnam,3756.489121,3586.347302,3491.091274,3267.225009,2992.071742,2760.717105,2595.234979,2558.778924,2367.499539,2190.232284,1953.556979,1684.011664,1225.845012,1158.101627,913.3123316,790.5925164,693.1898411,551.9035051,485.4509091,434.8102921,409.497733,394.5831366,367.1568837,352.783068,352.9344398
GNI per capita growth (annual %),Vietnam,0.79727852,2.788101858,6.475115762,7.501681126,5.184463496,5.02884029,4.565569934,4.864661792,4.192680794,3.912841073,5.533408164,6.267902466,3.014748967,4.41409678,5.458974989,5.612187906,6.455939969,6.151889603,5.857187926,4.961639074,5.192241884,5.978171539,3.834401363,3.666925379,5.889110868
savings,Vietnam,32.65274964,33.00732474,31.33303266,30.93169836,28.85686866,28.4694474,28.0729385,32.9915497,33.20133891,34.86502,35.76590283,33.43621033,27.50274616,27.90047256,31.84021689,33.33076338,33.07503366,33.46638269,31.49322056,32.52767451,31.30189559,31.24779331,26.87137621,23.34479983,21.79550617
internet,Vietnam,74.20999985,70.3,68.66158021,69.84792868,58.14,53,45,41,38.5,36.8,35.07,30.65,26.55,23.92,20.75544477,17.25456172,12.73992929,7.642408528,3.780280814,1.854999236,1.265651236,0.254248276,0.128926663,0.013078543,0.003981962
inflation,Vietnam,1.834715548,3.220934367,2.795823675,3.539628059,3.520256888,2.66824817,0.631200905,4.084554466,6.592674759,9.094703396,18.67773228,9.207466488,6.7169827,23.11544835,8.344448898,7.418017151,8.284572431,7.754947487,3.234648173,3.830828382,-0.431544512,-1.710337279,4.117102358,7.266198044,3.209526063
immigration,Vietnam,,,,,,,0.077897131,,,,,0.069893114,,,,,0.061479398,,,,,0.070690169,,,
gender,Vietnam,68.24500275,67.91200256,70.51599884,70.47799683,71.46800232,71.95700073,72.49099731,72.69000244,72.65499878,71.76599884,71.5759964,71.57800293,71.4960022,71.00499725,70.51499939,69.56099701,68.59100342,67.60600281,68.48500061,69.03600311,69.54599762,68.8010025,70.38800049,70.25800323,70.76699829
education,Vietnam,85.27999878,88.12000275,87.72000122,87.65000153,87.63999939,87.52999878,87.73999786,87.77999878,87.26999664,87.12000275,86.75,86.66999817,,,,,,,,,,,,,
interest,Vietnam,7.811,7.6475,7.7075,7.371875,7.0675,6.96,7.1175,8.665,10.37416667,13.47166667,16.95383333,13.13525,10.069,15.78357143,11.18,11.17625,11.025,9.7225,9.48,9.061666667,9.42,10.55,12.7,14.4,14.41666667
literacy,Vietnam,,,95.7538681,,,,,,,,,,93.52044678,,,,,,,,,90.15612793,90.27829742,,
militaryexp,Vietnam,,,,2.28456986,2.267969776,2.442960753,2.361155697,2.285507647,2.176849795,2.156886368,1.982099947,2.305049337,2.26520867,2.156372927,2.304757337,1.938364584,1.780960852,2.01437984,2.128641129,,,,,,
oil,Vietnam,,0.677569603,1.181150175,1.610875924,1.269717287,1.064871127,1.512748718,3.569175739,4.284187448,5.324790996,5.440830993,4.455916104,3.540547793,7.46216734,6.955046123,8.976390854,9.326423393,8.320054985,5.748370868,5.515521606,5.83872489,7.28399207,3.559237637,1.971910006,3.181561617
slums,Vietnam,,5.76598,,5.76598,,5.76598,,10.70982,,15.65365,,20.59749,,25.54133,,30.48516,,35.429,,40.37283,,45.31667,,,
Real interest rate (%),Vietnam,4.896683814,6.090634142,5.159272588,3.614149334,2.591504338,5.048608674,8.988310921,4.789737223,6.089681047,4.028327225,-3.673254386,-20.49708191,3.627881414,-5.616335289,1.413637869,2.401517261,-6.552887405,1.188922339,2.213057918,4.166937119,6.624035466,6.905766654,6.587522338,5.110478713,7.335321062
ruralpop,Vietnam,61.948,62.66,63.372,64.081,64.787,65.49,66.191,66.885,67.571,68.248,68.92,69.583,70.238,70.872,71.496,72.112,72.719,73.317,73.908,74.489,75.063,75.626,76.183,76.629,77.035
servicesector,Vietnam,41.20786819,41.83116027,42.46873054,42.17091294,42.58071897,42.8544982,42.1930128,40.92361565,40.54200859,39.11885378,38.90701411,40.62736441,43.44335375,42.5091597,42.83327545,42.68848351,42.56888122,37.98355112,37.98755549,38.48387904,38.62953075,38.73464268,40.07081027,41.72795187,42.15315841
"Share of tariff lines with international peaks, all products (%)",Vietnam,,14.44614,14.7376,16.66305,20.94936,20.87451,19.97052,20.87733,20.71274,16.48646,,23.78657,20.25399,19.7491,32.967,31.03388,30.83059,31.15094,34.90091,32.13597,33.17054,,28.03389,,
"Share of tariff lines with specific rates, all products (%)",Vietnam,,0.5093801,0.4820079,0.6956818,0.4935222,0.4517236,0.4459824,0.5046682,0.5009508,0.3971771,,0.3514361,0,0.6553357,0,0,0,0.1525299,0,0.223055,0,,0.3288924,,
"Tariff rate, applied, simple mean, all products (%)",Vietnam,,5.56,5.68,6.65,6.51,6.4,6.18,6.63,6.7,7.12,,7.29,7.97,8.01,12.14,11.9,11.78,12.54,12.74,13.43,13.81,,12.33,,
"Tariff rate, applied, simple mean, primary products (%)",Vietnam,,7.13,7.39,10.1,8.21,8.16,7.26,7.99,8.07,8.42,,8.64,10.83,10.77,14.59,15.24,15.3,15.97,16.14,16.26,16.98,,14.66,,
Tariffs,Vietnam,,1.34,1.66,4.39,2.69,2.86,3.14,3.43,3.54,3.65,,5.02,6.76,5.03,9.13,10.21,11.35,11.69,11.79,14.73,15.29,,19.2,,
"Tariff rate, applied, weighted mean, primary products (%)",Vietnam,,2.66,2.71,8.4,3.61,4.08,4.63,4.42,4.07,2.87,,4.98,10.12,4.08,9.66,10.29,10.72,10.84,11.06,13.12,11.23,,28.01,,
"Tariff rate, most favored nation, simple mean, all products (%)",Vietnam,,9.73,9.73,9.73,9.68,9.68,9.52,9.54,9.44,9.46,,9.76,10.35,10.82,16.81,16.81,16.81,16.82,16.81,16.4,16.46,,16.52,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Vietnam,,5.3,5.6,8.97,5.88,5.75,5.76,5.42,5.37,4.98,,6.47,7.88,6.12,11.39,11.71,12.73,12.63,12.68,15.08,15.29,,19.2,,
unemployment,Vietnam,2.380000114,2.099999905,1.679999948,1.159999967,1.870000005,1.850000024,1.850000024,1.25999999,1.320000052,1.029999971,1,1.110000014,1.74000001,,2.029999971,,,2.140000105,2.25,2.119999886,2.75999999,2.25999999,2.329999924,2.289999962,2.869999886
Exports,Venezuela,218588,151884,154008,114579,174641,251954,531577,565742,606450,930420,652189,364859,281172,336598,283286,169802,90785,59553,19924,33267,44344,25650,16070,17042,
Imports,Venezuela,99409,53424,486033,743140,721992,556282,677771,1132005,1312010,1454334,1173822,671288,438214,656706,302395,263796,123412,73794,54216,14496,14578,9478,2766,1247,
fdi,Venezuela,,,,54,2,3,6,45,66,128,209,358,198,237,209,98,276,,128,203,500,37,565,86,17
electricity,Venezuela,,100,99.97681427,99.91120148,99.19999695,99.40000153,100,100,99.25721741,99.20807648,98.83999634,99.0549469,98.94910431,98.9136734,98.88817596,99.30000305,98.85616302,99.09999847,95.69999695,99.80000305,99.90000153,98.90000153,98.9,98.4,98.7
ageing,Venezuela,57.50230558,57.42722574,56.80547935,55.30397412,53.93790995,53.48485138,53.64289033,53.99384754,54.37397537,54.7642138,55.16272399,55.58258495,56.04221066,56.56225273,57.14648331,57.80534081,58.54957926,59.37874509,60.28449689,61.23113822,62.20095909,63.14316806,64.04394197,64.95016998,65.86569677
publicdebt,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,
business,Venezuela,,,211.8,393,352.2,136.8,89,49.9,35.6,27.7,26.1,30.2,24,26.8,10,25.4,28.8,37.9,43.9,,,,,,
gdp,Venezuela,,,,,,,,15975.72938,12433.98079,12937.9276,10877.11236,13692.91497,11641.79915,11310.77817,8369.235268,6769.868414,5456.191879,4287.707147,3243.368805,3667.200194,4939.829478,4795.399668,4087.998071,3885.802704,3726.242313
GNI per capita growth (annual %),Venezuela,,,,,,,,-2.29665558,-0.22873673,4.211829067,0.837240747,-3.553268328,-5.764706902,2.563024865,9.461989329,9.500184317,10.42852437,15.29490637,-9.104173711,-11.80870991,1.074095677,1.915373318,-6.78968015,-1.351075236,3.843340323
savings,Venezuela,,,,,,,,8.939355092,19.02767037,25.62897701,30.54288285,31.43295512,22.41370968,36.56020403,37.13654278,40.70429809,40.63935011,35.66095746,29.75493764,30.32164073,29.08217221,34.46699076,28.70623629,25.9489352,31.96256476
internet,Venezuela,,,,,61.6,60,58,57,54.9,49.05008307,40.22,37.37,32.7,25.88,20.83,15.22471148,12.55299791,8.404469592,7.499963465,4.910446327,4.636000948,3.359597465,2.839825767,1.383990391,0.390959318
inflation,Venezuela,,,,,,254.9485348,121.7380853,62.16864998,40.63942752,21.06899563,26.09021232,28.18746471,27.08094145,,,,,,,,,,,,
immigration,Venezuela,,,,,,,4.514736572,,,,,4.59201169,,,,,3.999243158,,,,,4.14053041,,,
gender,Venezuela,39.39699936,38.88700104,41.97000122,45.18999863,46.37900162,47.84999847,48.25299835,48.65999985,49.06900024,49.47900009,49.63499832,49.58800125,49.99100113,49.71900177,49.71500015,50.00699997,49.44900131,47.60400009,46.64300156,47.86800003,48.53099823,47.92699814,48.15200043,48.93899918,48.68600082
education,Venezuela,,,,,74.13999939,69.08000183,,,,70.12000275,70.27999878,70.87999725,70.58999634,70.73999786,71.81999969,73.16999817,72.83000183,,,,,,,,
interest,Venezuela,,,,,21.05916667,20.775,19.395,17.21166667,15.895,16.38,17.15,18.3475,19.89333333,22.37083333,17.105,15.47666667,16.80916667,18.49666667,25.19333333,36.5775,22.45166667,25.19916667,32.12583333,46.3525,23.685
literacy,Venezuela,97.5,,,,,97.12709045,96.60521698,,,,94.7702179,,95.51199341,,95.1546402,,,,,,92.97982788,,,,
militaryexp,Venezuela,,,0.179230376,0.150853893,2.233332199,0.454046014,0.941375969,1.16181681,1.669551783,1.341471732,1.130405341,1.013488628,1.231070415,1.793552852,1.888993106,1.978492217,1.831713749,1.288301812,1.182690627,1.153373596,1.555107911,1.526570129,1.437199004,1.588555205,1.795285052
oil,Venezuela,,,,,,,,11.36365804,16.37401927,17.05248753,21.57641381,11.66628752,10.3881057,23.15796598,23.39092986,29.42620652,30.8535309,26.90705676,23.34721337,18.43863592,13.94359119,19.74855931,12.61402758,8.519600513,16.96700146
slums,Venezuela,,,,,,,,,,,,,,,,25.7,,25.7,,26.40689,,27.82014,,,
Real interest rate (%),Venezuela,,,,,,,,-16.53997606,-14.47032296,2.034527031,-8.583113847,-18.90855875,11.18564461,-5.964399617,1.434858453,-2.058999173,-9.872293159,-11.53910259,-7.218669896,2.672189947,13.38442313,-3.28587533,4.701637098,23.09878633,-7.661556204
ruralpop,Venezuela,11.675,11.721,11.76,11.792,11.817,11.835,11.846,11.856,11.867,11.877,11.892,11.917,11.943,11.969,11.994,12.02,12.046,12.072,12.098,12.124,12.15,12.441,12.738,13.041,13.35
servicesector,Venezuela,,,,,,,,51.66747816,45.56550221,44.87439771,38.63664524,39.03186322,45.9130653,38.79836744,39.35262196,36.34933281,35.0708629,37.27535931,41.5241599,43.25207177,45.97681486,43.08184907,45.77831007,45.80918385,40.34434609
"Share of tariff lines with international peaks, all products (%)",Venezuela,,32.87814,28.90894,25.4007,27.56214,24.87501,26.22231,28.114,42.89116,18.09623,44.11392,21.29695,45.55139,45.49072,43.80859,20.23103,22.97456,23.01268,23.37453,25.65559,24.66575,24.00479,24.20342,23.16753,22.0433
"Share of tariff lines with specific rates, all products (%)",Venezuela,,0,0,0,0,0,0,0,0.0334239,0,0,0,0,0,0,0,0.0063246,0,0,0,0,0,0,0.292875,0
"Tariff rate, applied, simple mean, all products (%)",Venezuela,,14.44,11.9,10.94,11.88,11.2,11.82,11.03,11.65,11.84,11.83,13.07,12.22,12.24,11.83,12.32,12.66,12.5,13.34,13.62,13.38,13.24,13.3,13,12.82
"Tariff rate, applied, simple mean, primary products (%)",Venezuela,,13.36,11.45,9.45,10.8,11.16,10.58,10.94,11.17,11.49,11.57,12.21,11.82,11.7,11.07,10.77,12.22,12.36,13.85,13.84,13.74,13.5,13.58,13.7,13.05
Tariffs,Venezuela,,14.06,10.19,8.87,10.99,10.04,10.67,9.67,8.42,8.59,8.59,9.96,9.09,9.62,11.1,10.61,12.77,11.87,12.75,13.7,14.46,13.37,13.02,13.69,13.4
"Tariff rate, applied, weighted mean, primary products (%)",Venezuela,,11.28,8.87,7.82,12.23,8.34,8.24,8.84,10.86,11.24,11.03,8.86,9.79,10.75,9.74,7.37,11.57,11.64,14.44,14.08,13.63,13.5,14,15.19,12.65
"Tariff rate, most favored nation, simple mean, all products (%)",Venezuela,,13.99,13.99,13.99,13.99,12.7,13.09,13,13.33,13.33,13.33,13.14,13.33,13.33,13.19,13,12.43,12.44,12.7,12.72,12.45,12.41,12.45,12.42,12.38
"Tariff rate, most favored nation, weighted mean, all products (%)",Venezuela,,18.87,16.15,16.49,14.52,13.9,14.48,13.93,12.51,12.51,12.51,12,13.61,14.99,15.55,14.18,13.6,13.27,12.75,13.7,14.46,13.37,13.02,13.69,13.4
unemployment,Venezuela,,7.53000021,,,5.050000191,5.320000172,,,,6.599999905,6.900000095,7.110000134,6.099999905,6.25,7.28000021,8.609999657,10.65999985,,16.78000069,16.17000008,8.829999924,,,,
Exports,Vatican City State,184,73,15,1,8,29,0,0,,3,,,,42,24,1,0,,,,,,,,
Imports,Vatican City State,,9.8,3.2,0.1,,2.5,,,0.3,7.1,1.3,1.6,,,,,0,,,,,,,,
Exports,Vanuatu,8764,7241,7725,6342,6559,6374,7031,18024,38048,13361,13386,2260,4744,3464,2094,1832,780,723,289,141,115,,,,
Imports,Vanuatu,1183,794,1457,1568,1424,501,1201,692,224,242,239,66,137,43,40,105,48,26,20,26,32,,,,
fdi,Vanuatu,,468,190,,,2920,624,16,79,515,1002,2997,147,16,283,298,171,,,,,,,,
electricity,Vanuatu,,67.33326721,64.59018707,61.75451279,62.79999924,57.81999969,52.20510101,49.05744553,31.70000076,43.78952789,41.93532944,44.09999847,33.29111481,36.47030258,33.62461853,26.44000053,31.09473419,29.31017494,27.52507973,25.73709869,23.94388008,22.14307976,19.1,18.48291779,16.63967896
ageing,Vanuatu,76.48747145,76.89976333,77.100569,77.12803036,77.05118038,76.89468227,76.55760007,76.02939834,75.47408512,74.98622889,74.60429955,74.40173369,74.81329132,75.82179736,77.04593914,78.45832399,79.99950375,81.60848786,83.2779173,84.98773613,86.68245772,88.35770253,89.8699299,91.09582607,92.11849115
publicdebt,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,27.30321163,28.40314527,23.35316079
business,Vanuatu,,,42.5,42,44.4,44.3,44.2,46.2,46.2,47.2,47.1,48.2,53.5,69.7,69.9,78,83.5,81.8,66.9,,,,,,
gdp,Vanuatu,2996.621062,2877.520173,3076.589886,3076.835315,3032.197958,2757.203306,2643.886085,2861.202182,2877.444528,2906.342461,3064.75007,2732.552497,2472.464328,2525.083081,2261.459294,1970.898999,1814.818374,1718.263029,1517.29404,1299.17921,1309.047584,1416.197367,1429.889094,1432.608422,1524.960497
GNI per capita growth (annual %),Vanuatu,-2.060516229,-6.207717851,7.017522024,3.600155963,1.600156929,2.725752215,-1.735017699,2.336970075,3.982223912,-4.643102996,1.462145401,-0.552010252,-2.768494278,7.875490606,0.173683913,8.152474467,1.232565081,0.863899296,1.498375519,,,,,,
savings,Vanuatu,48.36732661,51.37704152,53.43388847,41.10074747,27.99920298,30.60561004,28.98461191,25.70949518,20.70487581,14.84701623,18.85445325,17.79643872,22.76253926,32.15577039,22.45949507,24.06894235,18.06007981,15.96200275,12.61963621,12.43319015,8.256230923,6.088195934,0.309581836,0.296663022,15.40171792
internet,Vanuatu,,,,,25.71978784,24,22.35140458,18.8,11.3,10.598,9.2,8,7.5,7.269119923,6.8,5.850585059,5.082333808,4.746602619,3.903295845,3.510038711,2.830572239,2.108336891,0.538300048,0.274185942,0.139505815
inflation,Vanuatu,2.343283582,5.329350731,2.762520194,2.330963796,3.084526244,0.842069084,2.483268757,0.798863838,1.458933718,1.347403629,0.873793105,2.762694695,4.29706573,4.841713222,3.935483871,2.040816327,1.199200533,1.418918919,3.016241299,1.963567542,3.577554521,2.537688442,1.998974885,3.282159873,2.830702232
immigration,Vanuatu,,,,,,,1.204222904,,,,,1.265769216,,,,,1.337313433,,,,,1.419014579,,,
gender,Vanuatu,60.18799973,59.73600006,60.30899811,60.35499954,60.3769989,60.59500122,60.7140007,60.56499863,60.57899857,60.4280014,60.31499863,60.33499908,60.2480011,60.27000046,60.44800186,60.4679985,60.81700134,60.97700119,61.0530014,61.14899826,60.63100052,60.26100159,60.48199844,60.38600159,60.34799957
education,Vanuatu,,,79.83999634,,,,,,,,,80.55999756,,,,83.62999725,,,,,,,,,
interest,Vanuatu,9.601111111,9.760833333,10.04583333,10.18166667,9.965,10.1,10.20079992,10.40583333,10.54833333,,,,,,,,,,,,,,,,
literacy,Vanuatu,89.09999847,,,87.50630951,,,,84.69999695,,,,,,,,,,78.40000153,,,,,74,,
militaryexp,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Vanuatu,8.840825158,7.819505121,6.55161914,6.758306477,4.366680531,8.390695983,4.096753857,8.890286702,7.320991242,,,,,,,,,,,,,,,,
ruralpop,Vanuatu,74.335,74.475,74.606,74.726,74.837,74.938,75.039,75.139,75.239,75.339,75.439,75.538,75.714,76.015,76.313,76.608,76.901,77.191,77.479,77.765,78.047,78.327,78.618,78.927,79.234
servicesector,Vanuatu,,,,59.79339499,60.85531516,62.28883091,61.03920559,62.61171135,63.50080902,63.93227287,63.3887236,61.72841406,61.03672321,61.28326345,62.02313887,63.45477361,62.27403356,61.15726785,61.65777489,58.94181052,,,,,
"Share of tariff lines with international peaks, all products (%)",Vanuatu,,21.26309,,,43.25843,36.79545,37.08733,,,19.58381,,,66.28104,66.28104,66.62746,45.13461,45.78978,45.78978,45.78978,46.21177,,,,,
"Share of tariff lines with specific rates, all products (%)",Vanuatu,,0,,,0.0208073,0.3175443,0.2865329,,,0.4561003,,,1.867262,1.867262,1.771538,2.300268,1.398498,1.398498,1.398498,1.575842,,,,,
"Tariff rate, applied, simple mean, all products (%)",Vanuatu,,11.84,,,10.14,8.91,9.05,,,12.03,,,18.59,18.62,18.51,17.97,17.8,17.81,17.79,18.38,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Vanuatu,,19.1,,,16.16,8.63,8.95,,,19.32,,,27.13,27.26,28.14,29.04,25.43,25.4,25.36,27.92,,,,,
Tariffs,Vanuatu,,12.66,,,8.34,7.85,4.84,,,5.53,,,18.76,18.8,18.93,15.81,17.16,17.14,17.09,20.27,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Vanuatu,,20.22,,,13.75,11.46,9.57,,,13.77,,,30.27,30.39,29.36,23.12,24.77,24.66,24.55,32.34,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Vanuatu,,9.17,,,9.16,7.52,7.52,,,9.11,,,16.64,16.68,16.75,16.51,16.46,16.44,16.37,16.35,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Vanuatu,,12.66,,,11.31,9,5.53,,,5.6,,,19.04,19.08,19.12,16,17.16,17.14,17.09,20.27,,,,,
